team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
2,TRABZONSPOR,111.1,151.0,"[4, 10, 11, 12, 56]",5,4|10|11|12|56,"['2:4', '2:10', '2:11', '2:12', '2:56']","['I. Ulusoy', 'T. Tinkle', 'M. Reed', 'A. Yeboah', 'R. Hamm Jr']",2:4|2:10|2:11|2:12|2:56,Unknownx5,1,02:09:00,2,10:00:00,21,12,27,18
2,TRABZONSPOR,151.1,193.0,"[3, 10, 11, 42, 56]",5,3|10|11|42|56,"['2:3', '2:10', '2:11', '2:42', '2:56']","['B. Demir', 'T. Tinkle', 'M. Reed', 'T. Taylor', 'R. Hamm Jr']",2:3|2:10|2:11|2:42|2:56,Unknownx5,2,10:00:00,2,07:42:00,27,18,32,21
2,TRABZONSPOR,193.1,204.0,"[3, 10, 14, 42, 56]",5,3|10|14|42|56,"['2:3', '2:10', '2:14', '2:42', '2:56']","['B. Demir', 'T. Tinkle', 'D. Grant', 'T. Taylor', 'R. Hamm Jr']",2:3|2:10|2:14|2:42|2:56,Unknownx5,2,07:42:00,2,06:34:00,32,21,34,23
2,TRABZONSPOR,204.1,251.0,"[2, 10, 12, 14, 42]",5,2|10|12|14|42,"['2:2', '2:10', '2:12', '2:14', '2:42']","['E. Arar', 'T. Tinkle', 'A. Yeboah', 'D. Grant', 'T. Taylor']",2:2|2:10|2:12|2:14|2:42,Unknownx5,2,06:34:00,2,04:05:00,34,23,38,26
2,TRABZONSPOR,251.1,262.0,"[2, 10, 11, 12, 42]",5,2|10|11|12|42,"['2:2', '2:10', '2:11', '2:12', '2:42']","['E. Arar', 'T. Tinkle', 'M. Reed', 'A. Yeboah', 'T. Taylor']",2:2|2:10|2:11|2:12|2:42,Unknownx5,2,04:05:00,2,03:01:00,38,26,38,29
2,TRABZONSPOR,262.1,312.0,"[3, 9, 11, 12, 42]",5,3|9|11|12|42,"['2:3', '2:9', '2:11', '2:12', '2:42']","['B. Demir', 'A. Delgado Astacio', 'M. Reed', 'A. Yeboah', 'T. Taylor']",2:3|2:9|2:11|2:12|2:42,Unknownx5,2,03:01:00,2,01:47:00,38,29,40,34
2,TRABZONSPOR,312.1,366.0,"[3, 4, 11, 12, 56]",5,3|4|11|12|56,"['2:3', '2:4', '2:11', '2:12', '2:56']","['B. Demir', 'I. Ulusoy', 'M. Reed', 'A. Yeboah', 'R. Hamm Jr']",2:3|2:4|2:11|2:12|2:56,Unknownx5,2,01:47:00,3,10:00:00,40,34,46,41
2,TRABZONSPOR,366.1,410.0,"[3, 9, 11, 12, 42]",5,3|9|11|12|42,"['2:3', '2:9', '2:11', '2:12', '2:42']","['B. Demir', 'A. Delgado Astacio', 'M. Reed', 'A. Yeboah', 'T. Taylor']",2:3|2:9|2:11|2:12|2:42,Unknownx5,3,10:00:00,3,06:44:00,46,41,52,43
2,TRABZONSPOR,410.1,475.0,"[4, 9, 10, 11, 12]",5,4|9|10|11|12,"['2:4', '2:9', '2:10', '2:11', '2:12']","['I. Ulusoy', 'A. Delgado Astacio', 'T. Tinkle', 'M. Reed', 'A. Yeboah']",2:4|2:9|2:10|2:11|2:12,Unknownx5,3,06:44:00,3,02:50:00,52,43,57,47
2,TRABZONSPOR,475.1,485.0,"[4, 9, 10, 12, 14]",5,4|9|10|12|14,"['2:4', '2:9', '2:10', '2:12', '2:14']","['I. Ulusoy', 'A. Delgado Astacio', 'T. Tinkle', 'A. Yeboah', 'D. Grant']",2:4|2:9|2:10|2:12|2:14,Unknownx5,3,02:50:00,3,02:32:00,57,47,60,47
2,TRABZONSPOR,485.1,529.0,"[4, 10, 12, 14, 56]",5,4|10|12|14|56,"['2:4', '2:10', '2:12', '2:14', '2:56']","['I. Ulusoy', 'T. Tinkle', 'A. Yeboah', 'D. Grant', 'R. Hamm Jr']",2:4|2:10|2:12|2:14|2:56,Unknownx5,3,02:32:00,4,10:00:00,60,47,68,52
2,TRABZONSPOR,529.1,608.0,"[3, 9, 10, 14, 42]",5,3|9|10|14|42,"['2:3', '2:9', '2:10', '2:14', '2:42']","['B. Demir', 'A. Delgado Astacio', 'T. Tinkle', 'D. Grant', 'T. Taylor']",2:3|2:9|2:10|2:14|2:42,Unknownx5,4,10:00:00,4,06:01:00,68,52,77,56
2,TRABZONSPOR,608.1,650.0,"[3, 10, 11, 42, 56]",5,3|10|11|42|56,"['2:3', '2:10', '2:11', '2:42', '2:56']","['B. Demir', 'T. Tinkle', 'M. Reed', 'T. Taylor', 'R. Hamm Jr']",2:3|2:10|2:11|2:42|2:56,Unknownx5,4,06:01:00,4,04:38:00,77,56,80,62
2,TRABZONSPOR,650.1,718.0,"[3, 11, 12, 42, 56]",5,3|11|12|42|56,"['2:3', '2:11', '2:12', '2:42', '2:56']","['B. Demir', 'M. Reed', 'A. Yeboah', 'T. Taylor', 'R. Hamm Jr']",2:3|2:11|2:12|2:42|2:56,Unknownx5,4,04:38:00,4,01:07:00,80,62,85,67
2,TRABZONSPOR,718.1,739.0,"[1, 3, 12, 42, 56]",5,1|3|12|42|56,"['2:1', '2:3', '2:12', '2:42', '2:56']","['D. Engindeniz', 'B. Demir', 'A. Yeboah', 'T. Taylor', 'R. Hamm Jr']",2:1|2:3|2:12|2:42|2:56,Unknownx5,4,01:07:00,4,00:00:00,85,67,85,69
