gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
07:41,07:41:00,68,71,-3,1,4,REGULAR,75,K. ALLMAN,1,2pt,603,,[],pullupjumpshot,1,1,Kyle Lindsay,Allman,Kyle Lindsay,Allman,K,A,K,A,K. Allman,TÜRK TELEKOM,TTK,K. Allman,1,,,21.530000686646,28.809999465942,1.0,P2,made,TÜRK TELEKOM K. ALLMAN 2Pt made,,,,,,,,,2,186,2.0,score,2,68,0,71
07:17,07:17:00,68,71,-3,2,4,REGULAR,106,J. ROBINSON JR,0,2pt,605,,"['pointsinthepaint', 'blocked']",layup,1,1,Jerome Emanuel,Robinson Jr,Jerome Emanuel,Robinson Jr,J,R,J,R,J. Robinson Jr,GALATASARAY MCT TECHNIC,GSM,J. Robinson Jr,1,,,93.599998474121,42.369998931885,0.0,P2,missed,GALATASARAY MCT TECHNIC J. ROBINSON JR 2Pt missed,,,,75.0,1.0,K. ALLMAN,,,0,187,1.0,,0,68,0,71
07:17,07:17:00,68,71,-3,1,4,REGULAR,75,K. ALLMAN,1,block,606,605,[],,0,1,Kyle Lindsay,Allman,Kyle Lindsay,Allman,K,A,K,A,K. Allman,TÜRK TELEKOM,TTK,K. Allman,1,,,,,,BS,,TÜRK TELEKOM K. ALLMAN block,,,,,,,,,0,187,1.0,,0,68,0,71
07:17,07:17:00,68,71,-3,2,4,REGULAR,0,,1,rebound,607,605,['team'],offensive,0,,,,,,,,,,,GALATASARAY MCT TECHNIC,GSM,,,,,,,,TREB,,GALATASARAY MCT TECHNIC team rebound offensive,,,,,,,,,0,187,1.0,def_reb,0,68,0,71
07:17,07:17:00,68,71,-3,2,4,REGULAR,106,J. ROBINSON JR,1,substitution,608,,[],out,0,1,Jerome Emanuel,Robinson Jr,Jerome Emanuel,Robinson Jr,J,R,J,R,J. Robinson Jr,GALATASARAY MCT TECHNIC,GSM,J. Robinson Jr,1,,,,,,SUB,out,GALATASARAY MCT TECHNIC substitution out,,,,,,,,,0,188,2.0,,0,68,0,71
07:17,07:17:00,68,71,-3,2,4,REGULAR,109,W. CUMMINGS,1,substitution,609,,[],in,0,7,William,Cummings,William,Cummings,W,C,W,C,W. Cummings,GALATASARAY MCT TECHNIC,GSM,W. Cummings,7,,,,,,SUB,in,GALATASARAY MCT TECHNIC substitution in,,,,,,,,,0,188,2.0,,0,68,0,71
07:12,07:12:00,68,71,-3,2,4,REGULAR,103,J. PALMER JR,0,2pt,611,,['2ndchance'],fadeaway,1,12,James Alfred,Palmer Jr,James Alfred,Palmer Jr,J,P,J,P,J. Palmer Jr,GALATASARAY MCT TECHNIC,GSM,J. Palmer Jr,12,,,79.559997558594,55.650001525879,0.0,P2,missed,GALATASARAY MCT TECHNIC J. PALMER JR 2Pt missed,,,,,,,,,0,188,2.0,def_reb,0,68,0,71
07:10,07:10:00,68,71,-3,1,4,REGULAR,75,K. ALLMAN,1,rebound,612,611,[],defensive,0,1,Kyle Lindsay,Allman,Kyle Lindsay,Allman,K,A,K,A,K. Allman,TÜRK TELEKOM,TTK,K. Allman,1,,,,,,REB,,TÜRK TELEKOM rebound defensive,,,,,,,,,0,189,1.0,def_reb,0,68,0,71
06:57,06:57:00,68,71,-3,1,4,REGULAR,7,B. DURMAZ,0,3pt,613,,[],stepbackjumpshot,1,3,Berkan,Durmaz,Berkan,Durmaz,B,D,B,D,B. Durmaz,TÜRK TELEKOM,TTK,B. Durmaz,3,,,12.949999809265,5.6500000953674,0.0,P3,missed,TÜRK TELEKOM B. DURMAZ 3Pt missed,,,,,,,,,0,190,2.0,def_reb,0,68,0,71
06:55,06:55:00,68,71,-3,2,4,REGULAR,108,C. BISHOP,1,rebound,614,613,[],defensive,0,13,Christian Angelo ,Bishop,Christian Angelo ,Bishop,C,B,C,B,C. Bishop,GALATASARAY MCT TECHNIC,GSM,C. Bishop,13,,,,,,REB,,GALATASARAY MCT TECHNIC rebound defensive,,,,,,,,,0,191,1.0,def_reb,0,68,0,71
06:45,06:45:00,68,71,-3,2,4,REGULAR,103,J. PALMER JR,0,3pt,615,,[],jumpshot,1,12,James Alfred,Palmer Jr,James Alfred,Palmer Jr,J,P,J,P,J. Palmer Jr,GALATASARAY MCT TECHNIC,GSM,J. Palmer Jr,12,,,80.809997558594,8.7600002288818,0.0,P3,missed,GALATASARAY MCT TECHNIC J. PALMER JR 3Pt missed,,,,,,,,,0,192,2.0,def_reb,0,68,0,71
06:43,06:43:00,68,71,-3,1,4,REGULAR,75,K. ALLMAN,1,rebound,616,615,[],defensive,0,1,Kyle Lindsay,Allman,Kyle Lindsay,Allman,K,A,K,A,K. Allman,TÜRK TELEKOM,TTK,K. Allman,1,,,,,,REB,,TÜRK TELEKOM rebound defensive,,,,,,,,,0,193,1.0,def_reb,0,68,0,71
06:28,06:28:00,68,71,-3,2,4,REGULAR,101,T. GÖRENER,1,foul,618,,"['shooting', '2freethrow']",personal,0,5,Tibet Deniz,Görener,Tibet Deniz,Görener,T,G,T,G,T. Görener,GALATASARAY MCT TECHNIC,GSM,T. Görener,5,,,,,,FOUL,,GALATASARAY MCT TECHNIC T. GÖRENER foul personal,,,,,,,,,0,194,2.0,,0,68,0,71
06:28,06:28:00,68,71,-3,1,4,REGULAR,77,J. SMITH,1,foulon,619,618,[],,0,9,Jaleen Devon,Smith,Jaleen Devon,Smith,J,S,J,S,J. Smith,TÜRK TELEKOM,TTK,J. Smith,9,,,,,,OTHER,,TÜRK TELEKOM foulon,,,,,,,,,0,194,2.0,,0,68,0,71
06:28,06:28:00,68,71,-3,1,4,REGULAR,78,K. BANKSTON,1,substitution,620,,[],out,0,30,Kristeon Lamar,Bankston,Kristeon Lamar,Bankston,K,B,K,B,K. Bankston,TÜRK TELEKOM,TTK,K. Bankston,30,,,,,,SUB,out,TÜRK TELEKOM substitution out,,,,,,,,,0,194,2.0,,0,68,0,71
06:28,06:28:00,68,71,-3,1,4,REGULAR,87,K. ALEXANDER,1,substitution,621,,[],in,0,7,Kyle John Solomon,Alexander,Kyle John Solomon,Alexander,K,A,K,A,K. Alexander,TÜRK TELEKOM,TTK,K. Alexander,7,,,,,,SUB,in,TÜRK TELEKOM substitution in,,,,,,,,,0,194,2.0,,0,68,0,71
06:28,06:28:00,68,71,-3,2,4,REGULAR,108,C. BISHOP,1,substitution,622,,[],out,0,13,Christian Angelo ,Bishop,Christian Angelo ,Bishop,C,B,C,B,C. Bishop,GALATASARAY MCT TECHNIC,GSM,C. Bishop,13,,,,,,SUB,out,GALATASARAY MCT TECHNIC substitution out,,,,,,,,,0,194,2.0,,0,68,0,71
06:28,06:28:00,68,71,-3,2,4,REGULAR,105,F. GILLESPIE II,1,substitution,623,,[],in,0,33,Frederick Maurice ,Gillespie Ii,Frederick Maurice ,Gillespie Ii,F,G,F,G,F. Gillespie Ii,GALATASARAY MCT TECHNIC,GSM,F. Gillespie Ii,33,,,,,,SUB,in,GALATASARAY MCT TECHNIC substitution in,,,,,,,,,0,194,2.0,,0,68,0,71
06:28,06:28:00,69,71,-2,1,4,REGULAR,77,J. SMITH,1,freethrow,624,,[],1of2,1,9,Jaleen Devon,Smith,Jaleen Devon,Smith,J,S,J,S,J. Smith,TÜRK TELEKOM,TTK,J. Smith,9,,,,,,FT,made,TÜRK TELEKOM J. SMITH FT 1of2 made,,,,,,,,,1,194,2.0,made_ft,1,69,0,71
