week,game_id,label,team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,15,A. Varli,Aybars,Varli,8,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A. Varli,1:15
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,7,S. Pipes Jr,Shawn Oneal,Pipes Jr,11,0,,1,,,25:27,6,12,50,3,6,50,3,6,50,3,3,100,1,1,2,3,1,0,0,1,3,4,18,0,0,-2,4,S. Pipes Jr,1:7
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,42,H. Senol,Halil Ertugrul,Senol,15,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H. Senol,1:42
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,9,C. Turgut,Can Kaan,Turgut,23,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C. Turgut,1:9
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,4,E. Bruinsma,Evan John,Bruinsma,33,1,,1,,,36:57,6,14,42,1,5,20,5,9,55,5,6,83,8,3,11,1,3,0,1,1,3,6,18,9,2,-7,8,E. Bruinsma,1:4
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,12,A. Bandaogo,Abdou Aziz,Bandaogo,55,1,,0,,,14:51,3,4,75,0,0,0,3,4,75,1,2,50,3,1,4,0,0,1,4,0,4,2,7,0,2,-3,6,A. Bandaogo,1:12
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,11,M. Senli,Muhammed Dogan,Senli,65,0,1.0,0,,,23:21,6,9,66,0,0,0,6,9,66,2,2,100,2,1,3,0,1,0,0,1,5,1,14,2,0,1,8,M. Senli,1:11
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,6,J. Johnson,Jaron Tremel,Johnson,92,0,,0,,,9:28,1,5,20,0,1,0,1,4,25,0,0,0,1,1,2,0,0,0,1,0,1,0,2,0,2,-2,2,J. Johnson,1:6
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,46,K. Soyuçayli,Kerem,Soyuçayli,1,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K. Soyuçayli,2:46
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,45,B. Güler,Boran,Güler,2,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B. Güler,2:45
