possession_id,period,start_action,end_action,start_clock,end_clock,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
83,2,287,287,06:12:00,06:12:00,2.0,turnover,0,0,FENERBAHÇE BEKO,0
84,2,288,291,06:12:00,05:58:00,1.0,turnover,0,0,TOFAS,0
85,2,292,293,05:58:00,05:52:00,2.0,turnover,0,0,FENERBAHÇE BEKO,0
86,2,294,295,05:52:00,05:48:00,1.0,score,2,2,TOFAS,0
87,2,297,302,05:48:00,05:28:00,2.0,score,2,2,FENERBAHÇE BEKO,0
88,2,303,303,05:03:00,05:03:00,1.0,def_reb,0,0,TOFAS,0
89,2,304,304,05:01:00,05:01:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
90,2,305,305,04:54:00,04:54:00,1.0,score,2,0,TOFAS,2
91,2,306,307,04:54:00,04:37:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
92,2,308,308,04:35:00,04:35:00,1.0,def_reb,0,0,TOFAS,0
93,2,309,312,04:22:00,04:21:00,2.0,score,2,2,FENERBAHÇE BEKO,0
94,2,313,319,04:21:00,04:21:00,1.0,made_ft_last,1,0,TOFAS,1
95,2,322,324,04:15:00,04:15:00,2.0,made_ft,1,0,FENERBAHÇE BEKO,1
96,2,325,325,04:15:00,04:15:00,1.0,made_ft_last,1,1,TOFAS,0
97,2,328,330,04:01:00,04:01:00,2.0,made_ft,1,1,FENERBAHÇE BEKO,0
98,2,331,332,04:01:00,04:01:00,1.0,made_ft_last,1,0,TOFAS,1
99,2,334,334,03:44:00,03:44:00,2.0,score,3,0,FENERBAHÇE BEKO,3
100,2,335,337,03:44:00,03:28:00,1.0,score,2,0,TOFAS,2
101,2,338,344,03:28:00,03:28:00,2.0,made_ft_last,1,1,FENERBAHÇE BEKO,0
102,2,346,350,03:11:00,03:05:00,1.0,def_reb,0,0,TOFAS,0
103,2,351,351,03:04:00,03:04:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
104,2,352,352,02:47:00,02:47:00,1.0,def_reb,0,0,TOFAS,0
105,2,353,353,02:44:00,02:44:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
