start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
354.1,358.0,3,10:00:00,3,10:00:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 79, 94, 98, 99]",76|79|94|98|99,Unknownx5,"['2:76', '2:79', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",0,0,0,0,,,0,0,0,0,,,42,45,42,45
358.1,400.0,3,10:00:00,3,07:21:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 79, 92, 95, 99]",76|79|92|95|99,Unknownx5,"['2:76', '2:79', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",6,0,8,-8,0.0,133.33333333333334,6,8,0,8,133.33333333333334,0.0,42,45,44,51
400.1,427.0,3,07:21:00,3,06:31:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[79, 94, 95, 98, 99]",79|94|95|98|99,Unknownx5,"['2:79', '2:94', '2:95', '2:98', '2:99']","['T. Biberoviç', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",3,2,2,0,66.66666666666667,50.0,4,2,2,0,50.0,66.66666666666667,44,51,46,54
427.1,437.0,3,06:31:00,3,06:06:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[79, 93, 94, 98, 99]",79|93|94|98|99,Unknownx5,"['2:79', '2:93', '2:94', '2:98', '2:99']","['T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",0,0,0,0,,,0,0,0,0,,,46,54,46,54
437.1,452.0,3,06:06:00,3,04:54:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[89, 93, 94, 98, 99]",89|93|94|98|99,Unknownx5,"['2:89', '2:93', '2:94', '2:98', '2:99']","['O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",3,3,0,3,100.0,0.0,3,0,3,-3,0.0,100.0,46,54,49,54
452.1,456.0,3,04:54:00,3,04:54:00,1,MERSİN SPOR,"[4, 5, 7, 9, 57]",4|5|7|9|57,Unknownx5,"['1:4', '1:5', '1:7', '1:9', '1:57']","['E. Tirpanci', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",2,FENERBAHÇE BEKO,"[89, 93, 94, 98, 99]",89|93|94|98|99,Unknownx5,"['2:89', '2:93', '2:94', '2:98', '2:99']","['O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",0,0,0,0,,,0,0,0,0,,,49,54,49,54
456.1,471.0,3,04:54:00,3,03:58:00,1,MERSİN SPOR,"[4, 5, 7, 9, 57]",4|5|7|9|57,Unknownx5,"['1:4', '1:5', '1:7', '1:9', '1:57']","['E. Tirpanci', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",2,FENERBAHÇE BEKO,"[89, 91, 93, 94, 98]",89|91|93|94|98,Unknownx5,"['2:89', '2:91', '2:93', '2:94', '2:98']","['O. Bitim', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen']",2,2,2,0,100.0,100.0,2,2,2,0,100.0,100.0,49,54,52,56
471.1,475.0,3,03:58:00,3,03:58:00,1,MERSİN SPOR,"[4, 6, 7, 9, 57]",4|6|7|9|57,Unknownx5,"['1:4', '1:6', '1:7', '1:9', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'A. Cowan']",2,FENERBAHÇE BEKO,"[89, 91, 93, 94, 98]",89|91|93|94|98,Unknownx5,"['2:89', '2:91', '2:93', '2:94', '2:98']","['O. Bitim', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen']",0,0,1,-1,,100.0,1,1,0,1,100.0,,52,56,52,58
475.1,497.0,3,03:58:00,3,02:52:00,1,MERSİN SPOR,"[4, 6, 7, 9, 57]",4|6|7|9|57,Unknownx5,"['1:4', '1:6', '1:7', '1:9', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'A. Cowan']",2,FENERBAHÇE BEKO,"[89, 91, 93, 94, 95]",89|91|93|94|95,Unknownx5,"['2:89', '2:91', '2:93', '2:94', '2:95']","['O. Bitim', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'D. Hall']",2,1,1,0,50.0,50.0,2,1,1,0,50.0,50.0,52,58,55,60
497.1,535.0,3,02:52:00,3,01:18:00,1,MERSİN SPOR,"[6, 9, 10, 53, 57]",6|9|10|53|57,Unknownx5,"['1:6', '1:9', '1:10', '1:53', '1:57']","['F. Cruz Saldivar', 'J. White', 'R. March Jr', 'K. Çekici', 'A. Cowan']",2,FENERBAHÇE BEKO,"[89, 91, 93, 94, 95]",89|91|93|94|95,Unknownx5,"['2:89', '2:91', '2:93', '2:94', '2:95']","['O. Bitim', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'D. Hall']",5,4,2,2,80.0,40.0,5,2,4,-2,40.0,80.0,55,60,57,65
