team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
2,FENERBAHÇE BEKO,94.1,118.0,"[79, 93, 94, 98, 99]",79|93|94|98|99,2,2,2,2,2,0,100.0,100.0,1,04:30:00,1,03:16:00,12,13,14,15,Unknownx5,5,79|93|94|98|99,2:79|2:93|2:94|2:98|2:99,"[79, 93, 94, 98, 99]","['2:79', '2:93', '2:94', '2:98', '2:99']","['T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,118.1,185.0,"[79, 91, 93, 94, 98]",79|91|93|94|98,10,10,11,5,9,-4,50.0,81.81818181818181,1,03:16:00,2,08:55:00,14,15,19,24,Unknownx5,5,79|91|93|94|98,2:79|2:91|2:93|2:94|2:98,"[79, 91, 93, 94, 98]","['2:79', '2:91', '2:93', '2:94', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,185.1,196.0,"[79, 91, 93, 95, 98]",79|91|93|95|98,2,2,1,0,3,-3,0.0,300.0,2,08:55:00,2,08:26:00,19,24,19,27,Unknownx5,5,79|91|93|95|98,2:79|2:91|2:93|2:95|2:98,"[79, 91, 93, 95, 98]","['2:79', '2:91', '2:93', '2:95', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall', 'M. Jantunen']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,196.1,245.0,"[76, 79, 91, 93, 95]",76|79|91|93|95,7,7,8,9,5,4,128.57142857142858,62.5,2,08:26:00,2,05:20:00,19,27,28,32,Unknownx5,5,76|79|91|93|95,2:76|2:79|2:91|2:93|2:95,"[76, 79, 91, 93, 95]","['2:76', '2:79', '2:91', '2:93', '2:95']","['M. Mahmutoglu', 'T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,245.1,266.0,"[76, 79, 92, 95, 99]",76|79|92|95|99,4,4,3,3,2,1,75.0,66.66666666666667,2,05:20:00,2,04:02:00,28,32,31,34,Unknownx5,5,76|79|92|95|99,2:76|2:79|2:92|2:95|2:99,"[76, 79, 92, 95, 99]","['2:76', '2:79', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,266.1,279.0,"[76, 89, 92, 95, 99]",76|89|92|95|99,3,3,4,0,3,-3,0.0,75.0,2,04:02:00,2,03:07:00,31,34,31,37,Unknownx5,5,76|89|92|95|99,2:76|2:89|2:92|2:95|2:99,"[76, 89, 92, 95, 99]","['2:76', '2:89', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,279.1,312.0,"[76, 78, 92, 94, 99]",76|78|92|94|99,3,3,3,6,1,5,200.0,33.333333333333336,2,03:07:00,2,01:53:00,31,37,37,38,Unknownx5,5,76|78|92|94|99,2:76|2:78|2:92|2:94|2:99,"[76, 78, 92, 94, 99]","['2:76', '2:78', '2:92', '2:94', '2:99']","['M. Mahmutoglu', 'M. Eksioglu', 'N. Melli', 'W. Baldwin Iv', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,312.1,334.0,"[76, 78, 94, 98, 99]",76|78|94|98|99,3,3,3,5,3,2,166.66666666666666,100.0,2,01:53:00,2,00:30:20,37,38,42,41,Unknownx5,5,76|78|94|98|99,2:76|2:78|2:94|2:98|2:99,"[76, 78, 94, 98, 99]","['2:76', '2:78', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'M. Eksioglu', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,334.1,358.0,"[76, 79, 94, 98, 99]",76|79|94|98|99,2,2,2,3,1,2,150.0,50.0,2,00:30:20,3,10:00:00,42,41,45,42,Unknownx5,5,76|79|94|98|99,2:76|2:79|2:94|2:98|2:99,"[76, 79, 94, 98, 99]","['2:76', '2:79', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,358.1,400.0,"[76, 79, 92, 95, 99]",76|79|92|95|99,7,7,6,6,2,4,85.71428571428571,33.333333333333336,3,10:00:00,3,07:21:00,45,42,51,44,Unknownx5,5,76|79|92|95|99,2:76|2:79|2:92|2:95|2:99,"[76, 79, 92, 95, 99]","['2:76', '2:79', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,400.1,427.0,"[79, 94, 95, 98, 99]",79|94|95|98|99,4,4,4,3,2,1,75.0,50.0,3,07:21:00,3,06:31:00,51,44,54,46,Unknownx5,5,79|94|95|98|99,2:79|2:94|2:95|2:98|2:99,"[79, 94, 95, 98, 99]","['2:79', '2:94', '2:95', '2:98', '2:99']","['T. Biberoviç', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,427.1,437.0,"[79, 93, 94, 98, 99]",79|93|94|98|99,0,0,0,0,0,0,,,3,06:31:00,3,06:06:00,54,46,54,46,Unknownx5,5,79|93|94|98|99,2:79|2:93|2:94|2:98|2:99,"[79, 93, 94, 98, 99]","['2:79', '2:93', '2:94', '2:98', '2:99']","['T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,437.1,456.0,"[89, 93, 94, 98, 99]",89|93|94|98|99,3,3,4,0,3,-3,0.0,75.0,3,06:06:00,3,04:54:00,54,46,54,49,Unknownx5,5,89|93|94|98|99,2:89|2:93|2:94|2:98|2:99,"[89, 93, 94, 98, 99]","['2:89', '2:93', '2:94', '2:98', '2:99']","['O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,456.1,475.0,"[89, 91, 93, 94, 98]",89|91|93|94|98,4,4,3,4,3,1,100.0,100.0,3,04:54:00,3,03:58:00,54,49,58,52,Unknownx5,5,89|91|93|94|98,2:89|2:91|2:93|2:94|2:98,"[89, 91, 93, 94, 98]","['2:89', '2:91', '2:93', '2:94', '2:98']","['O. Bitim', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,475.1,535.0,"[89, 91, 93, 94, 95]",89|91|93|94|95,8,8,8,7,5,2,87.5,62.5,3,03:58:00,3,01:18:00,58,52,65,57,Unknownx5,5,89|91|93|94|95,2:89|2:91|2:93|2:94|2:95,"[89, 91, 93, 94, 95]","['2:89', '2:91', '2:93', '2:94', '2:95']","['O. Bitim', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'D. Hall']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,535.1,556.0,"[79, 89, 91, 93, 95]",79|89|91|93|95,4,4,4,0,0,0,0.0,0.0,3,01:18:00,4,10:00:00,65,57,65,57,Unknownx5,5,79|89|91|93|95,2:79|2:89|2:91|2:93|2:95,"[79, 89, 91, 93, 95]","['2:79', '2:89', '2:91', '2:93', '2:95']","['T. Biberoviç', 'O. Bitim', 'K. Birch', 'B. Colson Ii', 'D. Hall']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,556.1,602.0,"[76, 79, 95, 98, 99]",76|79|95|98|99,5,5,5,7,4,3,140.0,80.0,4,10:00:00,4,06:45:00,65,57,72,61,Unknownx5,5,76|79|95|98|99,2:76|2:79|2:95|2:98|2:99,"[76, 79, 95, 98, 99]","['2:76', '2:79', '2:95', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,602.1,628.0,"[76, 79, 94, 98, 99]",76|79|94|98|99,3,3,3,3,4,-1,100.0,133.33333333333334,4,06:45:00,4,05:34:00,72,61,75,65,Unknownx5,5,76|79|94|98|99,2:76|2:79|2:94|2:98|2:99,"[76, 79, 94, 98, 99]","['2:76', '2:79', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,628.1,643.0,"[76, 94, 95, 98, 99]",76|94|95|98|99,1,1,1,0,3,-3,0.0,300.0,4,05:34:00,4,04:32:00,75,65,75,68,Unknownx5,5,76|94|95|98|99,2:76|2:94|2:95|2:98|2:99,"[76, 94, 95, 98, 99]","['2:76', '2:94', '2:95', '2:98', '2:99']","['M. Mahmutoglu', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
2,FENERBAHÇE BEKO,643.1,748.0,"[79, 94, 95, 98, 99]",79|94|95|98|99,14,14,14,12,10,2,85.71428571428571,71.42857142857143,4,04:32:00,4,00:00:00,75,68,87,78,Unknownx5,5,79|94|95|98|99,2:79|2:94|2:95|2:98|2:99,"[79, 94, 95, 98, 99]","['2:79', '2:94', '2:95', '2:98', '2:99']","['T. Biberoviç', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
