gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
10:00,10:00:00,42,45,-3,1,3,REGULAR,56,A. OLASENI,1,substitution,356,,[],in,0,0,Abodunrin Gabriel,Olaseni,Abodunrin Gabriel,Olaseni,A,O,A,O,A. Olaseni,MERSİN SPOR,MSK,A. Olaseni,0,,,,,,SUB,in,MERSİN SPOR substitution in,,,,,,,,,0,103,2.0,,0,42,0,45
10:00,10:00:00,42,45,-3,1,3,REGULAR,6,F. CRUZ SALDIVAR,1,substitution,357,,[],in,0,9,Francisco Javier,Cruz Saldivar,Francisco Javier,Cruz Saldivar,F,C,F,C,F. Cruz Saldivar,MERSİN SPOR,MSK,F. Cruz Saldivar,9,,,,,,SUB,in,MERSİN SPOR substitution in,,,,,,,,,0,103,2.0,,0,42,0,45
10:00,10:00:00,42,45,-3,2,3,REGULAR,94,W. BALDWIN IV,1,substitution,358,,[],out,0,2,Wade M,Baldwin Iv,Wade M,Baldwin Iv,W,B,W,B,W. Baldwin Iv,FENERBAHÇE BEKO,FBB,W. Baldwin Iv,2,,,,,,SUB,out,FENERBAHÇE BEKO substitution out,,,,,,,,,0,103,2.0,,0,42,0,45
10:00,10:00:00,42,45,-3,2,3,REGULAR,98,M. JANTUNEN,1,substitution,359,,[],out,0,18,Mikael Olli Axel,Jantunen,Mikael Olli Axel,Jantunen,M,J,M,J,M. Jantunen,FENERBAHÇE BEKO,FBB,M. Jantunen,18,,,,,,SUB,out,FENERBAHÇE BEKO substitution out,,,,,,,,,0,103,2.0,,0,42,0,45
10:00,10:00:00,42,45,-3,2,3,REGULAR,92,N. MELLI,1,substitution,360,,[],in,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,SUB,in,FENERBAHÇE BEKO substitution in,,,,,,,,,0,103,2.0,,0,42,0,45
10:00,10:00:00,42,45,-3,2,3,REGULAR,95,D. HALL,1,substitution,361,,[],in,0,20,Devon Howard,Hall,Devon Howard,Hall,D,H,D,H,D. Hall,FENERBAHÇE BEKO,FBB,D. Hall,20,,,,,,SUB,in,FENERBAHÇE BEKO substitution in,,,,,,,,,0,103,2.0,,0,42,0,45
10:00,10:00:00,42,45,-3,0,3,REGULAR,0,,1,period,362,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,period start,,,,,,,,,0,103,2.0,,0,42,0,45
09:47,09:47:00,42,45,-3,2,3,REGULAR,99,A. BACOT JR,1,foul,365,,[],offensive,0,00,Armando Linwood,Bacot Jr,Armando Linwood,Bacot Jr,A,B,A,B,A. Bacot Jr,FENERBAHÇE BEKO,FBB,A. Bacot Jr,00,,,,,,RFOUL,,FENERBAHÇE BEKO A. BACOT JR foul offensive,,,,,,,,,0,103,2.0,offensive_foul,0,42,0,45
09:47,09:47:00,42,45,-3,2,3,REGULAR,99,A. BACOT JR,1,turnover,366,365,[],offensive,0,00,Armando Linwood,Bacot Jr,Armando Linwood,Bacot Jr,A,B,A,B,A. Bacot Jr,FENERBAHÇE BEKO,FBB,A. Bacot Jr,00,,,,,,TO,,FENERBAHÇE BEKO A. BACOT JR turnover offensive,,,,,,,,,0,104,1.0,turnover,0,42,0,45
09:47,09:47:00,42,45,-3,1,3,REGULAR,56,A. OLASENI,1,foulon,367,365,[],,0,0,Abodunrin Gabriel,Olaseni,Abodunrin Gabriel,Olaseni,A,O,A,O,A. Olaseni,MERSİN SPOR,MSK,A. Olaseni,0,,,,,,OTHER,,MERSİN SPOR foulon,,,,,,,,,0,105,2.0,,0,42,0,45
09:35,09:35:00,44,45,-1,1,3,REGULAR,6,F. CRUZ SALDIVAR,1,2pt,369,,"['fromturnover', 'pointsinthepaint']",drivinglayup,1,9,Francisco Javier,Cruz Saldivar,Francisco Javier,Cruz Saldivar,F,C,F,C,F. Cruz Saldivar,MERSİN SPOR,MSK,F. Cruz Saldivar,9,,,90.639999389648,38.419998168945,1.0,P2,made,MERSİN SPOR F. CRUZ SALDIVAR 2Pt made,5.0,1.0,J. COBBS,,,,,,2,105,2.0,score,2,44,0,45
09:35,09:35:00,44,45,-1,1,3,REGULAR,5,J. COBBS,1,assist,370,369,[],,0,1,Justin,Cobbs,Justin,Cobbs,J,C,J,C,J. Cobbs,MERSİN SPOR,MSK,J. Cobbs,1,,,,,,ASS,,MERSİN SPOR J. COBBS assist,,,,,,,,,0,106,1.0,,0,44,0,45
09:18,09:18:00,44,45,-1,2,3,REGULAR,79,T. BIBEROVIÇ,0,2pt,371,,[],jumpshot,1,13,Tarik,Biberoviç,Tarik,Biberoviç,T,B,T,B,T. Biberoviç,FENERBAHÇE BEKO,FBB,T. Biberoviç,13,,,22.0,52.819999694824,0.0,P2,missed,FENERBAHÇE BEKO T. BIBEROVIÇ 2Pt missed,,,,,,,,,0,106,1.0,,0,44,0,45
09:16,09:16:00,44,45,-1,2,3,REGULAR,99,A. BACOT JR,1,rebound,372,371,[],offensive,0,00,Armando Linwood,Bacot Jr,Armando Linwood,Bacot Jr,A,B,A,B,A. Bacot Jr,FENERBAHÇE BEKO,FBB,A. Bacot Jr,00,,,,,,REB,,FENERBAHÇE BEKO rebound offensive,,,,,,,,,0,106,1.0,,0,44,0,45
